id row,id_output,Forms,no,Number,Name,family,Stage,Type,Type Colour,Colour Preevo,Type File,Rarity,hp,retreat,Move1,Move2,Ability,Prompt,file,previous stage,Move1 Cost,Move1 Name,Move1 Damage,Move1 Description,Move2 Cost,Move2 Name,Move2 Damage,Move2 Description,Special card
18,Elemental Awakening_18.png,,18,#18 / Elemental Awakening,Blossomgale,10,Stage 2,Wind,#ADD8E6,#000000,Wind.png,3,80 hp,0,2-40,3-110 (20itself),,"Can you create images of a creature that is wind/flying type, colour should be mostly gold and black, inspired by a dangerous flying flower. Think Pokemon. White background. Suggest its name.",Blossomgale.png,Stormbud.png,WW,Gale Strike,40,,NNN,Petal Tornado,90,This attack does 20 damage to itself.,
19,Elemental Awakening_19.png,,19,#19 / Elemental Awakening,Dodolet,11,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,1,40 hp,1,1-30(50%),,,,Dodolet.png,,N,Coin Clash,,"Flip a coin. If heads, this move deals 30 damage.",,,,,
20,Elemental Awakening_20.png,,20,#20 / Elemental Awakening,Dodrift,11,Stage 2,Wind,#ADD8E6,#000000,Wind.png,2,60 hp,1,1-10*dice,,,,Dodrift.png,Dodolet.png,W,Dice Fury,10x,Roll a dice. This attack deals damage equal to 10 times the number rolled.,,,,,
21,Elemental Awakening_21.png,,21,#21 / Elemental Awakening,Dodoryphon,11,Stage 3,Wind,#ADD8E6,#000000,Wind.png,4,100 hp,1,2-20*dice,,,"Can you create images of a creature that is wind/flying type, colour should be mostly green with purple head, inspired by a dodo. Think Pokemon. White background. Suggest its name.",Dodoryphon.png,Dodrift.png,WW,Dice Tempest,20x,Roll a dice. This attack deals damage equal to 20 times the number rolled.,,,,,
22,Elemental Awakening_22.png,,22,#22 / Elemental Awakening,Aeroquatic,12,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,1,70 hp,0,2-50,,,,Aeroquatic.png,,WN,Rainbow Surge,50,,,,,,
23,Elemental Awakening_23.png,,23,#23 / Elemental Awakening,Prismarine,12,Stage 2,Wind,#ADD8E6,#000000,Wind.png,2,90 hp,1,2-60,4-40+40(2*50%),"Rainbow Strike: When attacking, also deal 30 damage to a random creature from the opponent's bench.","Can you create images of a creature that is wind/flying type, colour should be using rainbow colours, inspired by a dangerous flying fish. Think Legendary Pokemon. White background. Suggest its name.",Prismarine.png,Aeroquatic.png,WN,Aqua Radiance,60,,WWWN,Prismatic Dive,40+,Flip 2 coins. This move does an extra 40 damage for each heads.,
24,Elemental Awakening_24.png,,24,#24 / Elemental Awakening,Pyrosora,13,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,4,100 hp,2,1-40(50% 20 itself),3-70+,,"Create an image of a legendary pokemon, white background. Should be a flying and fire type, colours mainly orange and pink. Give a name to it and 2 moves.",Pyrosora.png,,W,Inferno Wing,40,"Flip a coin. If tails, this attack also deals 20 damage to Pyrosora.",WWW,Solar Ascend,70+,"Flip a coin. If heads, do 10 damage to each opponent's benched creature.",
25,Elemental Awakening_25.png,,25,#25 / Elemental Awakening,Batakaze,14,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,1,50 hp,1,1-20*energy,,,"Can you create images of a creature that is wind/flying type, colour should be mostly dark blue inspired by a bat. Think Pokemon. Suggest its name. White background",Batakaze.png,,W,Night Strike,20x,This attack deals 20 damage for each wind energy attached to it.,,,,,
26,Elemental Awakening_26.png,,26,#26 / Elemental Awakening,Shadowflit,14,Stage 2,Wind,#ADD8E6,#000000,Wind.png,1,80 hp,1,1-20*energy all,,,,Shadowflit.png,Batakaze.png,W,Ethereal Pulse,20x,This attack deals 20 damage for each energy attached to both your and your opponent's active creatures.,,,,,
27,Elemental Awakening_27.png,,27,#27 / Elemental Awakening,Dewmo,15,Stage 1,Neutral,#808080,#808080,Neutral.png,3,110 hp,2,3-30*neutral in play,,,"Can you create images of a creature that is a normal type, colour should be mostly light blue inspired by a monkey. Think Pokemon. Suggest its name. White background",Dewmo.png,,NNN,Neutral Surge,20x,This attack deals 20 damage for each neutral creature in play from both players.,,,,,
28,Elemental Awakening_28.png,,28,#28 / Elemental Awakening,Baklavaff,16,Stage 1,Neutral,#808080,#808080,Neutral.png,1,70 hp,1,2-30,,,,Baklavaff.png,,NN,Honey Drizzle,40,,,,,,
29,Elemental Awakening_29.png,,29,#29 / Elemental Awakening,Galaktikreme,16,Stage 2,Neutral,#808080,#000000,Neutral.png,2,110 hp,1,2-50,4-80,,,Galaktikreme.png,Baklavaff.png,NN,Pastry Crunch,50,,NNNN,Creamy Confection,80,"Flip a coin. If heads, attach an energy to a bench creature. If tails, discard 2 energy from this creature.",
30,Elemental Awakening_30.png,a,30-a,#30-a / Elemental Awakening,Antheara,17,Stage 1,Neutral,#808080,#808080,Neutral.png,2,50 hp,0,1-30,,,,Antheara_a.png,,N,Tongue Sweep,30,,,,,,
31,Elemental Awakening_31.png,b,30-b,#30-b / Elemental Awakening,Antheara,17,Stage 1,Neutral,#808080,#808080,Neutral.png,2,70 hp,1,1-30,,,,Antheara_b.png,,N,Tongue Sweep,30,,,,,,
32,Elemental Awakening_32.png,c,30-c,#30-c / Elemental Awakening,Antheara,17,Stage 1,Neutral,#808080,#808080,Neutral.png,2,50 hp,1,1-40,,,,Antheara_c.png,,N,Long Tongue Sweep,40,,,,,,
33,Elemental Awakening_33.png,d,30-d,#30-d / Elemental Awakening,Antheara,17,Stage 1,Neutral,#808080,#808080,Neutral.png,2,50 hp,1,1-30,,"Defense Aura: While in the active position, it takes 10 less damage from attacks.",,Antheara_d.png,,N,Tongue Sweep,30,,,,,,
34,Elemental Awakening_34.png,,31,#31 / Elemental Awakening,Babybara,18,Stage 1,Neutral,#808080,#808080,Neutral.png,1,60 hp,1,1-20,,,,Babybara.png,,N,Muddy Tackle,20,,,,,,
35,Elemental Awakening_35.png,,32,#32 / Elemental Awakening,Carmibara,18,Stage 2,Neutral,#808080,#000000,Neutral.png,2,80 hp,1,1-30,,,,Carmibara.png,Babybara.png,N,Crimson Chomp,30,,,,,,
36,Elemental Awakening_36.png,,33,#33 / Elemental Awakening,Reddybara,18,Stage 3,Neutral,#808080,#000000,Neutral.png,4,130 hp,2,2-50,4-90,"Sturdy Presence: When this creature is in play, all of your attacks deal 20 more damage","Can you create images of a creature that is a normal type, colour should be mostly in red colours inspired by a capybara. Think Pokemon. Suggest its name. White background",Reddybara.png,Carmibara.png,NN,River Rush,50,,NNNN,Risky Recoil,130,"Flip a coin. If tails, this attack also does 50 damage to one of your creatures.",
37,Elemental Awakening_37.png,,34,#34 / Elemental Awakening,Serafini,19,Stage 1,Neutral,#808080,#808080,Neutral.png,1,30 hp,1,1-bench,,,,Serafini.png,,N,Heavenly Retreat,,This creature moves to the bench.,,,,,
38,Elemental Awakening_38.png,,35,#35 / Elemental Awakening,Serafina,19,Stage 2,Neutral,#808080,#000000,Neutral.png,3,60 hp,2,2-30,,"Resourceful Recovery: Flip a coin. If heads, attach an energy to any of your creatures in play.",,Serafina.png,Serafini.png,NN,Serene Light,30,,,,,,
39,Elemental Awakening_39.png,,36,#36 / Elemental Awakening,Alpakina,20,Stage 1,Neutral,#808080,#808080,Neutral.png,4,120 hp,2,4-50,,,"Can you create images of a creature that is a normal type, colour should be mostly light pink inspired by an alpaca. Think Pokemon. Suggest its name. White background",Alpakina.png,,NNN,Energy Snatch,40,"Flip a coin. If heads, discard a random energy from any creature in play from your opponent.",,,,,
40,Elemental Awakening_40.png,,37,#37 / Elemental Awakening,Floonleef,21,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,60 hp,1,1-20,,,,Floonleef.png,,N,Swirl,20,,,,,,
41,Elemental Awakening_41.png,,38,#38 / Elemental Awakening,Aerobloom,21,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,80 hp,1,1-40,,,,Aerobloom.png,Floonleef.png,C,Balloon Burst,40,,,,,,
42,Elemental Awakening_42.png,,39,#39 / Elemental Awakening,Rosbud,22,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,60 hp,1,,,,,Rosbud.png,,C,Petal Flick,20,,,,,,
43,Elemental Awakening_43.png,,40,#40 / Elemental Awakening,Rosalia,22,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,90 hp,1,,,Celestial Blessing: Heals one random celestial creature (including your opponent's) by 30 HP.,"Can you create images of a creature that is a grass type, colour should be mostly in white inspired by a rose. Think Pokemon. Suggest its name. White background",Rosalia.png,Rosbud.png,CCC,Fortune Smite,50+,"Flip a coin. If heads, it does 20 extra damage.",,,,,
44,Elemental Awakening_44.png,,41,#41 / Elemental Awakening,Verdanthorn,23,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,3,110 hp,3,1-10x bench,3-deal 60 heal 20,,"Can you create images of a creature that is a grass type, colour should be mostly in red inspired by a forest guardian. Think Pokemon. Suggest its name. White background",Verdanthorn.png,,C,Thorny Vines,10x,This attack deals 10 damage for each of your opponent's creatures.,CCN,Healing Roots,60,This move heals 20 damage to the user.,
45,Elemental Awakening_45.png,,42,#42 / Elemental Awakening,Faeclover,24,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,30 hp,1,1-10,,,"Can you create images of a creature that is a grass type, colour should be mostly in yellow inspired by a fairy. Think Pokemon. Suggest its name. White background",Faeclover.png,,C,Leaf Tickle,10,,,,,,
46,Elemental Awakening_46.png,,43,#43 / Elemental Awakening,Sunbloss,24,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,3,90 hp,1,3-60,,Clarity Aura: Prevents all of your creatures from getting the Hallucination status condition.,,Sunbloss.png,Faeclover.png,CCC,Nature's Clap,60,,,,,,
47,Elemental Awakening_47.png,,44,#44 / Elemental Awakening,Aloebud,25,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,50 hp,1,1-20,,,,Aloebud.png,,C,Aloe Slash,20,,,,,,
48,Elemental Awakening_48.png,,45,#45 / Elemental Awakening,Aloeflora,25,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,70 hp,1,1-40,,,,Aloeflora.png,Aloebud.png,C,Vera Tackle,40,,,,,,
49,Elemental Awakening_49.png,,46,#46 / Elemental Awakening,Aloetide,25,Stage 3,Celestial,#c1fbcf,#000000,Celestial.png,4,90 hp,3,3-50+heal 20,,,,Aloetide.png,Aloeflora.png,CCC,Healing Sap,50,It heals 20 HP for each of your creatures.,,,,,
50,Elemental Awakening_50.png,,47,#47 / Elemental Awakening,Floretta,26,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,60 hp,1,1-20 heal 10,,,"Can you create images of a creature that is a grass type, colour should be mostly in pink inspired by a lizard. Think Pokemon. Suggest its name. White background",Floretta.png,,N,Minor Mend,20,This creature is healed by 10 HP.,,,,,
51,Elemental Awakening_51.png,,48,#48 / Elemental Awakening,Lizaflora,26,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,80 hp,0,2-40 heal 20,,,,Lizaflora.png,Floretta.png,NN,Major Mend,40,This creature is healed by 20 HP.,,,,,
52,Elemental Awakening_52.png,,49,#49 / Elemental Awakening,Voltveil,27,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,2,80 hp,2,2-50,,,,Voltveil.png,,NN,Iron Spin,40,,,,,,
53,Elemental Awakening_53.png,,50,#50 / Elemental Awakening,Byteblade,28,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,2,90 hp,3,3-70,,,,Byteblade.png,,KKK,Shadow Byte,60,,,,,,
54,Elemental Awakening_54.png,,51,#51 / Elemental Awakening,Venomgear,29,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,1,60 hp,1,1-20x2 coins,,,,Venomgear.png,,K,Toxic Toss,20x,Flip 2 coins. This attack does 20 damage for each heads.,,,,,
55,Elemental Awakening_55.png,,52,#52 / Elemental Awakening,Toxiforge,29,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,3,110 hp,2,3-50,,"Quick Reflexes: Flip 2 coins. If you get two heards, your opponent can't attack in the next turn.",,Toxiforge.png,Venomgear.png,KKK,Veno Slash,50,,,,,,
56,Elemental Awakening_56.png,,53,#53 / Elemental Awakening,Envoye,30,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,2,100 hp,1,1-50% swap their active,3-60,,,Envoye.png,,K,Forceful Flip,,"Flip a coin. If heads, you opponent has to swap their active creature.",KKN,Scrap Strike,20x,This move deals 20 damage for each item card in your opponent's discard pile.,
57,Elemental Awakening_57.png,,54,#54 / Elemental Awakening,Struto,31,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,1,80 hp,1,1-attach energy to it,,,,Struto.png,,K,Metallic Wing,,Attach one energy to this creature.,,,,,
58,Elemental Awakening_58.png,,55,#55 / Elemental Awakening,Strutalon,31,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,3,130 hp,2,4-50,,Hard as Steel: This creature takes 30 less damage from neutral and mechanic creatures,"Can you create images of a creature that is metal type, colour should be mostly orange and dark purple inspired by a metalic ostrich. Think Pokemon. Suggest its name. White background.",Strutalon.png,Struto.png,KKKN,Turbo Charge,70,,,,,,
59,Elemental Awakening_59.png,,56,#56 / Elemental Awakening,Ponimetal,32,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,1,70 hp,1,1-10,,,"Can you create images of a creature that is metal type, colour should be mostly pink inspired by a horse. Think Pokemon. Suggest its name. White background. ",Ponimetal.png,,N,Iron Tail Whip,10,,,,,,
60,Elemental Awakening_60.png,,57,#57 / Elemental Awakening,Equinix,32,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,2,90 hp,1,1-20,,,,Equinix.png,Ponimetal.png,N,Titan Kick,20,,,,,,
61,Elemental Awakening_61.png,,58,#58 / Elemental Awakening,Equinox,32,Stage 3,Mechanic,#dc9056,#000000,Mechanic.png,4,110 hp,3,3-60,,Aura of Strenght: Boosts the damage of any of your active creature attacks by 30 if you have a full bench.,"Can you create images of a creature that is metal type, colour should be mostly pink inspired by a horse. Think Pokemon. Suggest its name. White background.",Equinox.png,Equinix.png,KNN,Metal Burst,60,,,,,,
62,Elemental Awakening_62.png,,59,#59 / Elemental Awakening,Metamonk,33,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,3,130 hp,2,2-50,4-70+,,,Metamonk.png,,KK,Monastic Strike,50,,KKKN,Monk's Fury,70,"Flip a coin. If heads, next turn this creature takes 20 less damage.",
63,Elemental Awakening_63.png,,60,#60 / Elemental Awakening,Aeglet,34,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,1,60 hp,3,2-30,,"Guardian's Call: You may flip a coin. If heads, evolve Aeglet into Aegiscelis from your hand.",,Aeglet.png,,KK,Metalic Buzz,30,,,,,,
64,Elemental Awakening_64.png,,61,#61 / Elemental Awakening,Aegiscelis,34,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,2,130 hp,3,2-50,,"Guardian: Protects the active creature, taking damage on their behalf.","Can you create images of a creature that is metal type, colour should be mostly blue and white inspired by a guardian. Think Pokemon. Suggest its name. White background",Aegiscelis.png,Aeglet.png,KK,Guardian Glow,50,,,,,,
65,Elemental Awakening_65.png,,62,#62 / Elemental Awakening,Potion,,Item,Item,#000000,#000000,Item.png,1,,,,,,,Potion.png,,,,,Heals a specific creature by 20 HP,,,,,
66,Elemental Awakening_66.png,,63,#63 / Elemental Awakening,Card Draw,,Item,Item,#000000,#000000,Item.png,1,,,,,,,Card Draw.png,,,,,Draws 2 cards,,,,,
67,Elemental Awakening_67.png,,64,#64 / Elemental Awakening,Booster,,Item,Item,#000000,#000000,Item.png,1,,,,,,,Booster.png,,,,,Deal 20 extra damage this turn,,,,,
68,Elemental Awakening_68.png,,65,#65 / Elemental Awakening,Power-Up,,Item,Item,#000000,#000000,Item.png,1,,,,,,,Power-Up.png,,,,,Deal 10 extra damage during the next 3 turns.,,,,,
69,Elemental Awakening_69.png,,66,#66 / Elemental Awakening,Remedy,,Item,Item,#000000,#000000,Item.png,1,,,,,,,Remedy.png,,,,,Heals the active creature of any status conditions,,,,,
70,Elemental Awakening_70.png,,67,#67 / Elemental Awakening,Dragomind,35,Stage 1,Mystic,#800080,#800080,Mystic.png,1,60 hp,1,,,,,Dragomind.png,,M,Mind Blaze,10,,,,,,Promo.png
71,Elemental Awakening_71.png,,68,#68 / Elemental Awakening,Mindsheer,35,Stage 2,Mystic,#800080,#000000,Mystic.png,2,80 hp,1,,,,,Mindsheer.png,Dragomind.png,M,Blue Nova,30,,,,,,Promo.png
72,Elemental Awakening_72.png,,69,#69 / Elemental Awakening,Psydrake,35,Stage 3,Mystic,#800080,#000000,Mystic.png,3,110 hp,2,,,,,Psydrake.png,Mindsheer.png,MM,Brain Freeze,50,This move causes Hallucination.,,,,,Promo.png
73,Elemental Awakening_73.png,,70,#70 / Elemental Awakening,Blushbat,36,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,1,50 hp,1,,,,,Blushbat.png,,W,Echo Loop,10+,Flip a coin until you get tails. This attack does 10 extra damage for each heads.,,,,,Promo.png
74,Elemental Awakening_74.png,,71,#71 / Elemental Awakening,Cerisebat,36,Stage 2,Wind,#ADD8E6,#000000,Wind.png,2,70 hp,1,,,,,Cerisebat.png,Blushbat.png,WN,Pink Gust,30x,Flip 2 coins. This move does 30 damage for each heads,,,,,Promo.png
75,Elemental Awakening_75.png,,72,#72 / Elemental Awakening,Flutterwing,36,Stage 3,Wind,#ADD8E6,#000000,Wind.png,3,90 hp,1,,,,,Flutterwing.png,Cerisebat.png,WN,Wing Slap,80,This creature deals no damage next turn,,,,,Promo.png
76,Elemental Awakening_76.png,,73,#73 / Elemental Awakening,Minkpaw,37,Stage 1,Neutral,#808080,#808080,Neutral.png,1,50 hp,1,,,,,Minkpaw.png,,N,Claw Swipe,20,,,,,,Promo.png
77,Elemental Awakening_77.png,,74,#74 / Elemental Awakening,Furstream,37,Stage 2,Neutral,#808080,#000000,Neutral.png,2,80 hp,1,,,,,Furstream.png,Minkpaw.png,NN,Whisker Whip,50,,,,,,Promo.png
78,Elemental Awakening_78.png,,75,#75 / Elemental Awakening,Lumbertail,37,Stage 3,Neutral,#808080,#000000,Neutral.png,3,100 hp,1,,,"Energy Siphon: Whenever your opponent uses an item card, attach one energy to this creature.",,Lumbertail.png,Furstream.png,NNN,Feline Fury,70,,,,,,Promo.png
79,Elemental Awakening_79.png,,76,#76 / Elemental Awakening,Astromelon,38,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,60 hp,1,,,,,Astromelon.png,,C,Nebula Kiss,10,,,,,,Promo.png
80,Elemental Awakening_80.png,,77,#77 / Elemental Awakening,Lunamelon,38,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,80 hp,2,,,,,Lunamelon.png,Astromelon.png,C,Moonlight Slam,20,,,,,,Promo.png
81,Elemental Awakening_81.png,,78,#78 / Elemental Awakening,Orbitmelon,38,Stage 3,Celestial,#c1fbcf,#000000,Celestial.png,3,110 hp,2,,,,,Orbitmelon.png,Lunamelon.png,C,Planet Burst,50,Heal 10 HP,,,,,Promo.png
82,Elemental Awakening_82.png,,79,#79 / Elemental Awakening,Ghoulpole,39,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,1,70 hp,2,,,,,Ghoulpole.png,,KK,Soul Snare,30,,,,,,Promo.png
83,Elemental Awakening_83.png,,80,#80 / Elemental Awakening,Apparitron,39,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,2,90 hp,2,,,,,Apparitron.png,Ghoulpole.png,KK,Eerie Attraction,40,,,,,,Promo.png
84,Elemental Awakening_84.png,,81,#81 / Elemental Awakening,Poltergnet,39,Stage 3,Mechanic,#dc9056,#000000,Mechanic.png,3,130 hp,3,,,,,Poltergnet.png,Apparitron.png,KKK,Spectral Burst,60,"Next turn, this creature takes 10 less damage.",,,,,Promo.png
