id row,id_output,Forms,no,Number,Name,family,Stage,Type,Type Colour,Colour Preevo,Type File,Rarity,hp,retreat,Move1,Move2,Ability,Prompt,file,previous stage,Move1 Cost,Move1 Name,Move1 Damage,Move1 Description,Move2 Cost,Move2 Name,Move2 Damage,Move2 Description,Special card
23,Galactic Adventures_23.png,,22,#22 / Galactic Adventures,Lumifloris,12,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,60 hp,2,,,"Absorb Energy: You can use this ability if the creature is in the active slot or bench. If you use this ability, if you heal the creature's HP this turn, either with an Item (e.g. Potion) or through an ability of another creature, or as a secondary effect of a move, this creature also gains an additional Energy.",,Lumifloris.png,,CC,Regrowth,30,,,,,,
24,Galactic Adventures_24.png,,23,#23 / Galactic Adventures,Photosynthra,12,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,80 hp,2,,,"Absorb Energy: You can use this ability if the creature is in the active slot or bench. If you use this ability, if you heal the creature's HP this turn, either with an Item (e.g. Potion) or through an ability of another creature, or as a secondary effect of a move, this creature also gains an additional Energy.",,Photosynthra.png,Lumifloris.png,CCN,Enraged Charge,40+,"This attack does 30 damage for any additional energy after 3 you have attached. E.g. 5 energy attached, it does 60 extra damage.",,,,,
25,Galactic Adventures_25.png,,24,#24 / Galactic Adventures,Nebuleap,13,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,60 hp,1,,,"Energized Healing: It works on the bench or active slot. If you use this ability and then attach an energy on it, if this creature has damage on it, heal 10 HP",,Nebuleap.png,,C,Bog Bite,20,,,,,,
26,Galactic Adventures_26.png,,25,#25 / Galactic Adventures,Comiscroaker,13,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,90 hp,1,,,"Energized Healing: It works on the bench or active slot. If you use this ability and then attach an energy on it, if this creature has damage on it, heal 20 HP",,Comiscroaker.png,Nebuleap.png,C,Marshy Muddle,30,,CCC,Toadstool Toss,70,,
27,Galactic Adventures_27.png,,26,#26 / Galactic Adventures,Gearpup,14,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,2,80 hp,2,,,,,Gearpup.png,,KK,Metallic Bark,30,,,,,,
28,Galactic Adventures_28.png,,27,#27 / Galactic Adventures,Gearstrike,14,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,3,120 hp,3,,,,,Gearstrike.png,Gearpup.png,KK,Scavenge Strike,40,"Flip a coin. If heads, move an item card from your discard pile onto your hand. You chose the card. AI choses randomly.",,,,,
29,Galactic Adventures_29.png,,28,#28 / Galactic Adventures,Steelspirit,15,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,3,160 hp,2,,,"Melatic protection: You can use this ability on the bench or active slot. If you use it, This creature can't be damaged by Mechanic attacks next turn, but if you use the ability, the creature loses 20 HP.",,Steelspirit.png,,KK,Gear Grind,30+,"Flip a coin. If heads, this attack deals 20 more damage.",KNN,Chill Recharge,,Heal 10 HP and increase the damage of its next attack by 20.,
30,Galactic Adventures_30.png,,29,#29 / Galactic Adventures,Auregear,16,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,1,90 hp,2,,,,,Auregear.png,,KKK,Void Pulse,40,,,,,,
31,Galactic Adventures_31.png,,30,#30 / Galactic Adventures,Mechalumin,16,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,2,90 hp,3,,,,,Mechalumin.png,Auregear.png,KKK,Quantum Burst,60,,,,,,
32,Galactic Adventures_32.png,,31,#31 / Galactic Adventures,Stilflare,16,Stage 3,Mechanic,#dc9056,#000000,Mechanic.png,4,130 hp,4,,,,,Stilflare.png,Mechalumin.png,KKK,Overdrive Smash:,100,"You can't use this move next time you attack, ie. in 2 turns.",KKKK,Fragile Force,50,,
33,Galactic Adventures_33.png,,32,#32 / Galactic Adventures,Electrogriff,17,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,3,90 hp,1,,,,,Electrogriff.png,,WW,Harsh Flinch,20+,Flip a coin until you get tails. This move does 20 extra damage for each heads.,WWW,Tempest Hold,90,This creature can't retreat for the next 2 turns,
34,Galactic Adventures_34.png,,33,#33 / Galactic Adventures,Crocasprout,18,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,60 hp,1,,,,,Crocasprout.png,,C,Leaf Bite,20,,,,,,
35,Galactic Adventures_35.png,,34,#34 / Galactic Adventures,Crocablade,18,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,80 hp,1,,,,,Crocablade.png,Crocasprout.png,CC,Vine Slash,50,,,,,,
36,Galactic Adventures_36.png,,35,#35 / Galactic Adventures,Crocaterra,18,Stage 3,Celestial,#c1fbcf,#000000,Celestial.png,4,110 hp,2,,,,,Crocaterra.png,Crocablade.png,CC,Forest Fury,50,This move causes Lock.,,,,,
37,Galactic Adventures_37.png,,36,#36 / Galactic Adventures,Pangolilly,19,Stage 1,Neutral,#808080,#808080,Neutral.png,1,60 hp,1,,,,,Pangolilly.png,,N,Roll Tackle,10,,,,,,
38,Galactic Adventures_38.png,,37,#37 / Galactic Adventures,Pangomancer,19,Stage 2,Neutral,#808080,#000000,Neutral.png,3,80 hp,1,,,,,Pangomancer.png,Pangolilly.png,NN,Lucky Tackle,30,,,,,,
39,Galactic Adventures_39.png,,38,#38 / Galactic Adventures,Pangodice,19,Stage 3,Neutral,#808080,#000000,Neutral.png,4,110 hp,1,,,,,Pangodice.png,Pangomancer.png,NN,Chaos Dice,30,"Roll a dice. Your opponent's active creature is affected with Hallucination (if your dice gets 1 or 2), affected with Flux (if your dice gets 3 or 4) or Lock (if your dice gets 5 or 6).",,,,,
40,Galactic Adventures_40.png,,39,#39 / Galactic Adventures,Psychea,20,Stage 1,Mystic,#800080,#800080,Mystic.png,1,60 hp,1,,,,,Psychea.png,,M,Foresight Beam,10+,"Flip a coin. If heads, this move deals 10 extra damage",,,,,
41,Galactic Adventures_41.png,,40,#40 / Galactic Adventures,Olympis,20,Stage 2,Mystic,#800080,#000000,Mystic.png,1,80 hp,1,,,,,Olympis.png,Psychea.png,MM,Olympic Wave,30,This move causes Flux.,,,,,
42,Galactic Adventures_42.png,,41,#41 / Galactic Adventures,Oraclyon,20,Stage 3,Mystic,#800080,#000000,Mystic.png,3,100 hp,2,,,,,Oraclyon.png,Olympis.png,MM,Ancient Wisdom,50,This move causes Flux.,MMN,Foresight Blast,60,This move causes Hallucination.,
43,Galactic Adventures_43.png,,42,#42 / Galactic Adventures,Mummira,21,Stage 1,Mystic,#800080,#800080,Mystic.png,3,90 hp,1,,,,,Mummira.png,,N,Spectral Wrap,10+,This move does 10 extra damage for each energy attached to your opponent's active creature.,MMN,Mummy's Curse,60,This moves causes Flux,
44,Galactic Adventures_44.png,,43,#43 / Galactic Adventures,Mousuck,22,Stage 1,Neutral,#808080,#808080,Neutral.png,1,50 hp,1,,,,,Mousuck.png,,N,Nibble Peck,10,,,,,,
45,Galactic Adventures_45.png,,44,#44 / Galactic Adventures,Mousuckler,22,Stage 2,Neutral,#808080,#000000,Neutral.png,2,80 hp,1,,,,,Mousuckler.png,Mousuck.png,NN,Hairy Echo,30,,,,,,
46,Galactic Adventures_46.png,,45,#45 / Galactic Adventures,Mousucklord,22,Stage 3,Neutral,#808080,#000000,Neutral.png,3,110 hp,2,,,"Gnawing Precision: You can use this ability on the active slot or bench. If you use, you can select a creature from your opponent from their active slot or bench, it deals 20 damage to it.",,Mousucklord.png,Mousuckler.png,NN,Piercing Bite,60,,,,,,
47,Galactic Adventures_47.png,,46,#46 / Galactic Adventures,Cockeriel,23,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,1,30 hp,1,,,,,Cockeriel.png,,N,Beak Bash,20,,,,,,
48,Galactic Adventures_48.png,,47,#47 / Galactic Adventures,Cockatrike,23,Stage 2,Wind,#ADD8E6,#000000,Wind.png,2,70 hp,1,,,,,Cockatrike.png,Cockeriel.png,N,Sonic Chirp,30,,,,,,
49,Galactic Adventures_49.png,,48,#48 / Galactic Adventures,Cockarion,23,Stage 3,Wind,#ADD8E6,#000000,Wind.png,3,90 hp,1,,,,,Cockarion.png,Cockatrike.png,NN,Feather Barrage,40+,"Flip a coin. If heads, this moves deals 20 more damage.",WNN,Blow Blitz,100,This attack also does 40 damage to this creature.,
50,Galactic Adventures_50.png,,49,#49 / Galactic Adventures,Beanling,24,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,40 hp,1,,,,,Beanling.png,,C,Sprout Boost,,"When you attack again in 2 turns, your move will deal 30 more damage.",,,,,
51,Galactic Adventures_51.png,,50,#50 / Galactic Adventures,Beanleaf,24,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,70 hp,1,,,,,Beanleaf.png,Beanling.png,CC,Coffee Heal,30,Heal a creature from your bench 10 HP. You pick the creature. When AI uses this move they randomly select a creature with damage on it.,,,,,
52,Galactic Adventures_52.png,,51,#51 / Galactic Adventures,Beanknight,24,Stage 3,Celestial,#c1fbcf,#000000,Celestial.png,4,90 hp,2,,,,,Beanknight.png,Beanleaf.png,CC,Bean Blast,40,Heal a creature from your bench 20 HP. You pick the creature. When AI uses this move they randomly select a creature with damage on it.,CNN,Caffeine Addiction,50,"Flip a coin. If heads, heal this creature by 20 HP. If tails, your opponent's creature is now affected with Lock.",
53,Galactic Adventures_53.png,,52,#52 / Galactic Adventures,Tielzor,25,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,3,80 hp,2,,,,,Tielzor.png,,W,Sky Draw,,Draw a card after attacking.,WWWW,Hurricane Wing,100,"Flip a coin. If tails, this move does no damage.",
54,Galactic Adventures_54.png,,53,#53 / Galactic Adventures,Steellamb,26,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,1,80 hp,2,,,,,Steellamb.png,,KK,Iron Rush,30,,,,,,
55,Galactic Adventures_55.png,,54,#54 / Galactic Adventures,Pigmoat,26,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,3,120 hp,2,,,"Caprine Guard: You can use it on the active slot or bench. If you do, next turn this creature takes 40 less damage from moves by Celestial or Mystic creatures.",,Pigmoat.png,Steellamb.png,KNN,Horn Bash,50,,,,,,
56,Galactic Adventures_56.png,,55,#55 / Galactic Adventures,Astrollus,27,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,3,90 hp,2,,,,,Astrollus.png,,C,Galactic Pulse,20,,NNN,Starlight Kick,60,This move causes Lock.,
57,Galactic Adventures_57.png,,56,#56 / Galactic Adventures,Eclipso,28,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,1,40 hp,1,,,,,Eclipso.png,,W,Eclipse Tackle,20,,,,,,
58,Galactic Adventures_58.png,,57,#57 / Galactic Adventures,Astraea,28,Stage 2,Wind,#ADD8E6,#000000,Wind.png,2,80 hp,1,,,"Elemental Fortitude: You can use it on the active slot or bench. If you do, next turn this creature takes 20 less damage from Wind and Mechanic-type creatures",,Astraea.png,Eclipso.png,W,Nebula Blow,30,,WW,Starry Stomp,50,,
59,Galactic Adventures_59.png,,58,#58 / Galactic Adventures,Platypog,29,Stage 1,Neutral,#808080,#808080,Neutral.png,1,50 hp,1,,,,,Platypog.png,,N,Tail Dance,20,"Flip a coin. If tails, this move does nothing.",,,,,
60,Galactic Adventures_60.png,,59,#59 / Galactic Adventures,Fluffbill,29,Stage 2,Neutral,#808080,#000000,Neutral.png,2,80 hp,1,,,"Hydration: You can only use this in the active slot. If you do, this creature is not affected by status conditions when opponent attacks next turn.",,Fluffbill.png,Platypog.png,N,Bill Bash,50,"Flip a coin. If tails, this move does nothing.",,,,,
61,Galactic Adventures_61.png,,60,#60 / Galactic Adventures,Lithogarde,30,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,1,70 hp,2,,,,,Lithogarde.png,,K,Tidal Strike,10,,,,,,
62,Galactic Adventures_62.png,,61,#61 / Galactic Adventures,Gallicore,30,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,3,100 hp,2,,,,,Gallicore.png,Lithogarde.png,KK,Iron Ascent,40,,,,,,
63,Galactic Adventures_63.png,,62,#62 / Galactic Adventures,Notreclast,30,Stage 3,Mechanic,#dc9056,#000000,Mechanic.png,3,100 hp,2,,,"Retaliation Stone: You can use in the active slot or bench. If you use it, next turn if damaged by an attack, it deals 20 damage back to the attacker.",,Notreclast.png,Gallicore.png,KK,Iron Ascent,40,,,,,,
64,Galactic Adventures_64.png,,63,#63 / Galactic Adventures,Mangost,31,Stage 1,Mystic,#800080,#800080,Mystic.png,1,50 hp,1,,,,,Mangost.png,,MM,Spectral Slice,30,"Flip a coin. If heads, this move causes Flux.",,,,,
65,Galactic Adventures_65.png,,64,#64 / Galactic Adventures,Ectomango,31,Stage 2,Mystic,#800080,#000000,Mystic.png,3,70 hp,1,,,"Aqua Mirror: You can only use it in the active slot. If next turn you get a special condition such as hallucination, flux or lock, the opponent's creature that attacked also gets that special condition.",,Ectomango.png,Mangost.png,MM,Juicy Aroma,40,This move causes Flux.,,,,,
66,Galactic Adventures_66.png,,65,#65 / Galactic Adventures,Energy Antenna,,Item,Item,#000000,#000000,Item.png,2,,,,,,,Energy Antenna.png,,,,,"When using this item, you choose one of your mechanic creatures. It attaches 1 energy to it.",,,,,
67,Galactic Adventures_67.png,,66,#66 / Galactic Adventures,Revive Crystal,,Item,Item,#000000,#000000,Item.png,2,,,,,,,Revive Crystal.png,,,,,Choose a creature from your discard pile and add it to your hand.,,,,,
68,Galactic Adventures_68.png,,67,#67 / Galactic Adventures,Shield Barrier,,Item,Item,#000000,#000000,Item.png,1,,,,,,,Shield Barrier.png,,,,,Reduce damage taken by your active creature by 20 for the next turn.,,,,,
69,Galactic Adventures_69.png,,68,#68 / Galactic Adventures,Aura Crystal,,Item,Item,#000000,#000000,Item.png,2,,,,,,,Aura Crystal.png,,,,,All of your creatures with damage are healed by 10 HP,,,,,
70,Galactic Adventures_70.png,,69,#69 / Galactic Adventures,Healing Crystal,,Item,Item,#000000,#000000,Item.png,2,,,,,,,Healing Crystal.png,,,,,Heals a Celestial creature by 40 HP.,,,,,
71,Galactic Adventures_71.png,,70,#70 / Galactic Adventures,Disruptor,,Item,Item,#000000,#000000,Item.png,1,,,,,,,Disruptor.png,,,,,The opponent must shuffle their hand into their deck and draw the same number of cards they had minus one.,,,,,
72,Galactic Adventures_72.png,,71,#71 / Galactic Adventures,Amulet,,Item,Item,#000000,#000000,Item.png,2,,,,,,,Amulet.png,,,,,"For the next 2 turns, all neutral creatures' attack damage is boosted by 20.",,,,,
73,Galactic Adventures_73.png,,72,#72 / Galactic Adventures,Gale Shield,,Item,Item,#000000,#000000,Item.png,2,,,,,,,Gale Shield.png,,,,,"Next turn, wind creatures take 30 less damage from attacks.",,,,,
74,Galactic Adventures_74.png,,73,#73 / Galactic Adventures,Mystic Scroll,,Item,Item,#000000,#000000,Item.png,2,,,,,,,Mystic Scroll.png,,,,,Draw a mystic Stage 1 creature from your deck and add it to your hand if you have one there. Your turn ends automatically.,,,,,
75,Galactic Adventures_75.png,,74,#74 / Galactic Adventures,Goggly,32,Stage 1,Neutral,#808080,#808080,Neutral.png,2,50 hp,0,,,,,Goggly.png,,NN,Gulp Swap,,The user swaps its remaining HP with the opponent's active creature,,,,,Promo.png
76,Galactic Adventures_76.png,,75,#75 / Galactic Adventures,Cloudlet,33,Stage 1,Neutral,#808080,#808080,Neutral.png,1,60 hp,1,,,,,Cloudlet.png,,N,Cotton Guard,,This creature takes 20 less damage next turn,,,,,Promo.png
77,Galactic Adventures_77.png,,76,#76 / Galactic Adventures,Cloudboss,33,Stage 2,Neutral,#808080,#000000,Neutral.png,2,100 hp,1,,,,,Cloudboss.png,Cloudlet.png,N,Cotton Guard,,This creature takes 20 less damage next turn,NN,Cloud Bounce,30,"You may transfer an energy from one of your benched creatures to another. After you attack you choose either choose a creature from the bench with energy, remove an energt from it and then select another bench creature to add that energy to it. If you don't want to use this secondary effect you can select that and the turn just finishes as normal.",Promo.png
78,Galactic Adventures_78.png,,77,#77 / Galactic Adventures,Sadotter,34,Stage 1,Neutral,#808080,#808080,Neutral.png,1,60 hp,1,,,,,Sadotter.png,,N,Melancholy Splash,10,,,,,,Promo.png
79,Galactic Adventures_79.png,,78,#78 / Galactic Adventures,Weeweep,34,Stage 2,Neutral,#808080,#000000,Neutral.png,2,90 hp,1,,,,,Weeweep.png,Sadotter.png,N,Sorrow Swipe,30,,,,,,Promo.png
80,Galactic Adventures_80.png,,79,#79 / Galactic Adventures,Melanchote,34,Stage 3,Mechanic,#dc9056,#000000,Mechanic.png,4,130 hp,3,,,,,Melanchote.png,Weeweep.png,NN,Desolate Dive,50,,NNN,Alphabet Assault,,This attack does 10 damage for each letter in your opponents active creature,Promo.png
81,Galactic Adventures_81.png,,80,#80 / Galactic Adventures,Metalmagma,35,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,3,100 hp,2,,,,,Metalmagma.png,,KK,Molten Coil,30,,KKK,Inferno Constrict,,This attack does 30 damage for each Mechanic creature on your bench,Promo.png
82,Galactic Adventures_82.png,,81,#81 / Galactic Adventures,Laugherry,36,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,40 hp,1,,,,,Laugherry.png,,C,Berry Burst,10,Heal 10 HP from each of your creatures with damage.,,,,,Promo.png
83,Galactic Adventures_83.png,,82,#82 / Galactic Adventures,Gigglewood,36,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,3,70 hp,1,,,,,Gigglewood.png,Laugherry.png,CC,Laughing Leaves,20,Heal 20 HP from each of your creatures with damage.,,,,,Promo.png
84,Galactic Adventures_84.png,,83,#83 / Galactic Adventures,Quirkquack,37,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,3,60 hp,1,,,,,Quirkquack.png,,W,Aerial Peck,20,,WW,Windy Specs,50,,Promo.png
85,Galactic Adventures_85.png,,84,#84 / Galactic Adventures,Pantheraura,38,Stage 1,Mystic,#800080,#800080,Mystic.png,3,70 hp,1,,,,,Pantheraura.png,,MM,Mind Mirage,30,This move causes Hallucination.,,,,,Promo.png
86,Galactic Adventures_86.png,,85,#85 / Galactic Adventures,Frostant,39,Stage 1,Mystic,#800080,#800080,Mystic.png,3,70 hp,1,,,,,Frostant.png,,MM,Psychic Prowl,30,"Flip a coin. If heads, this move causes Flux. If tails, this move causes Lock.",,,,,Promo.png
